,household_key,coef,ascending
50,2009,[ 0.          0.50266943 -0.00181071],0
202,1863,[ 0.          1.06883491 -0.00197349],0
600,359,[ 0.         -0.00032492 -0.0285929 ],0
840,102,[ 0.          1.37809031 -0.00639624],0
911,948,[ 0.00000000e+00 -4.80021777e-06 -2.03529233e-03],0
934,313,[ 0.         16.56606988 -0.12062766],0
981,2265,[ 3.46944695e-18 -1.72933153e-04 -2.19625105e-02],0
1063,298,[ 0.          8.03810155 -0.02309605],0
1254,1897,[0. 0. 0.],0
1257,1830,[0. 0. 0.],0
1493,1052,[ 0.          6.05189961 -0.01997988],0
1845,494,[0. 0. 0.],0
1869,973,[ 0.          1.34391348 -0.00141847],0
2220,2365,[ 0.          4.48788697 -0.01395665],0
2383,1645,[ 0.          1.27468832 -0.00153939],0
2399,1813,[ 0.          1.27831367 -0.00151663],0
2494,1035,[ 0.         43.72073191 -0.07070264],0
